#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/calm
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-07-03
#curie_map: 
# calm: https://w3id.org/lmodel/calm/
# linkml: https://w3id.org/linkml/
# schema: http://schema.org/
# dct: http://purl.org/dc/terms/
# skos: http://www.w3.org/2004/02/skos/core#
# rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# xsd: http://www.w3.org/2001/XMLSchema#
# owl: http://www.w3.org/2002/07/owl#
# prov: http://www.w3.org/ns/prov#
# finos_calm: https://calm.finos.org/release/1.2/meta/
# ai_governance_framework: https://w3id.org/lmodel/ai-governance-framework/
# attack: https://w3id.org/lmodel/attack/
# capec: https://w3id.org/lmodel/capec/
# cis_controls: https://w3id.org/lmodel/cis-controls/
# dpv: https://w3id.org/lmodel/dpv/
# fluxnova_bpmn_platform: https://w3id.org/lmodel/fluxnova-bpm-platform/
# gist: https://w3id.org/lmodel/gist/
# iso27001: https://w3id.org/lmodel/iso27001/
# nist_csf_v2: https://w3id.org/lmodel/nist-csf-v2/
# nist_sp_800_53: https://w3id.org/lmodel/nist-sp-800-53/
# ocsf: https://w3id.org/lmodel/ocsf/
# oscal: https://w3id.org/lmodel/oscal/
# stix: https://w3id.org/lmodel/stix/
# shex: http://www.w3.org/ns/shex#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
calm:NodeType#actor	actor	skos:exactMatch		calm:node-type/actor		skos:exactMatch	https://w3id.org/lmodel/calm						NodeType			
calm:NodeType#ecosystem	ecosystem	skos:exactMatch		calm:node-type/ecosystem		skos:exactMatch	https://w3id.org/lmodel/calm						NodeType			
calm:NodeType#system	system	skos:exactMatch		calm:node-type/system		skos:exactMatch	https://w3id.org/lmodel/calm						NodeType			
calm:NodeType#service	service	skos:exactMatch		calm:node-type/service		skos:exactMatch	https://w3id.org/lmodel/calm						NodeType			
calm:NodeType#database	database	skos:exactMatch		calm:node-type/database		skos:exactMatch	https://w3id.org/lmodel/calm						NodeType			
calm:NodeType#network	network	skos:exactMatch		calm:node-type/network		skos:exactMatch	https://w3id.org/lmodel/calm						NodeType			
calm:NodeType#ldap	ldap	skos:exactMatch		calm:node-type/ldap		skos:exactMatch	https://w3id.org/lmodel/calm						NodeType			
calm:NodeType#webclient	webclient	skos:exactMatch		calm:node-type/webclient		skos:exactMatch	https://w3id.org/lmodel/calm						NodeType			
calm:NodeType#data_asset	data_asset	skos:exactMatch		calm:node-type/data-asset		skos:exactMatch	https://w3id.org/lmodel/calm						NodeType			
calm:Protocol#HTTP	HTTP	skos:exactMatch		calm:protocol/HTTP		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#HTTPS	HTTPS	skos:exactMatch		calm:protocol/HTTPS		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#FTP	FTP	skos:exactMatch		calm:protocol/FTP		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#SFTP	SFTP	skos:exactMatch		calm:protocol/SFTP		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#JDBC	JDBC	skos:exactMatch		calm:protocol/JDBC		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#WebSocket	WebSocket	skos:exactMatch		calm:protocol/WebSocket		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#SocketIO	SocketIO	skos:exactMatch		calm:protocol/SocketIO		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#LDAP	LDAP	skos:exactMatch		calm:protocol/LDAP		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#AMQP	AMQP	skos:exactMatch		calm:protocol/AMQP		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#TLS	TLS	skos:exactMatch		calm:protocol/TLS		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#mTLS	mTLS	skos:exactMatch		calm:protocol/mTLS		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Protocol#TCP	TCP	skos:exactMatch		calm:protocol/TCP		skos:exactMatch	https://w3id.org/lmodel/calm						Protocol			
calm:Architecture	Common Architecture Language Model (CALM) Vocab	skos:relatedMatch		capec:Category		skos:relatedMatch	https://w3id.org/lmodel/calm									
calm:Architecture	Common Architecture Language Model (CALM) Vocab	skos:relatedMatch		cis_controls:CISControlsDocument		skos:relatedMatch	https://w3id.org/lmodel/calm									
calm:Architecture	Common Architecture Language Model (CALM) Vocab	skos:relatedMatch		dpv:Context		skos:relatedMatch	https://w3id.org/lmodel/calm									
