Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
Architecture		Architecture	Top-level CALM architecture document.							
					nodes	Architecture_nodes	Node	0..*		calm:nodes
					relationships	Architecture_relationships	Relationship	0..*		calm:relationships
					metadata		str	0..1		calm:metadata
					controls		Control	0..1		calm:controls
					flows	Architecture_flows	Flow	0..*		calm:flows
					adrs		str	0..*	External links to ADRs (Architecture Decision Records) or similar documents that provide context or decisions related to the architecture. These can be URLs or references to internal documentation.	calm:adrs
ComposedOfRelationship		ComposedOfRelationship	A ``composed-of`` containment relationship.							
					container		str	1..1		calm:container
					nodes	ComposedOfRelationship_nodes	*Node	1..*		calm:nodes
ConnectsRelationship		ConnectsRelationship	A ``connects`` relationship between two node interfaces.							
					source		NodeInterface	1..1		calm:source
					destination		NodeInterface	1..1		calm:destination
Control		Control	A named control attached to an architecture element.							
ControlDetail		ControlDetail	A single control requirement and its inline / referenced configuration.							
					requirement_url	ControlDetail_requirement_url	str	1..1	The requirement schema that specifies how a control should be defined	schema:url
					config_url		str	0..1	The configuration of how the control requirement schema is met	schema:url
					config		str	0..1	Inline configuration of how the control requirement schema is met	calm:config
ControlRequirement		ControlRequirement	Domain-defined control requirement that controls can reference.							
				I	control_id		str	1..1	The unique identifier of this control, which has the potential to be used for linking evidence	calm:control_id
					name		str	1..1	Short human-readable name.	rdfs:label
					description	ControlRequirement_description	str	1..1	Free-form description of the element.	dct:description
Decision		Decision	A candidate decision within an ``options`` relationship.							
					description	Decision_description	str	1..1	Free-form description of the element.	dct:description
					nodes	Decision_nodes	Node	1..*		calm:nodes
					relationships	Decision_relationships	Relationship	1..*		calm:relationships
					controls		Control	0..1		calm:controls
Decorator		Decorator	Cross-cutting annotation attached to nodes, relationships, or flows.							
				I	unique_id		str	1..1	Stable opaque identifier used to cross-link CALM elements.	schema:identifier
					type		str	1..1	Type of decorator - a free-form string identifying the decorator category	calm:type
					target		str	1..*	Array of file paths or URLs referencing the CALM documents (patterns, architectures, or controls) this decorator targets	calm:target
					applies_to		str	1..*	Array of unique-ids referencing nodes, relationships, flows, or other architecture elements	calm:applies_to
					data		str	1..1	Free-form JSON object containing the decorator's data	calm:data
